TwoStage Config: BETA=0.001, ALPHA=0.5, epochs=150
Loading player data (season 2019-26)...
  170772 rows loaded
  train=136880  val=33892
Loading game outcomes...
Game outcomes loaded: 4,995 games, cols=['gameId', 'home_score', 'away_score', 'home_pace', 'home_poss', 'away_pace', 'away_poss']
  4995 games with outcomes
Building loaders (raw targets)...
  done
  team_dim=256  player_dim=24
--no-resume — starting from epoch 0.
Training two-stage model epochs 0–149
Epoch 052/149 | beta 0.00100 | train recon 0.1440  game_mse 0.0000  kl/dim 0.510 | val recon 0.1564  game_mse nan  kl/dim 0.305
Epoch 053/149 | beta 0.00100 | train recon 0.1447  game_mse 0.0000  kl/dim 0.510 | val recon 0.1574  game_mse nan  kl/dim 0.299
Epoch 054/149 | beta 0.00100 | train recon 0.1437  game_mse 0.0000  kl/dim 0.512 | val recon 0.1572  game_mse nan  kl/dim 0.300
Epoch 055/149 | beta 0.00100 | train recon 0.1438  game_mse 0.0000  kl/dim 0.509 | val recon 0.1560  game_mse nan  kl/dim 0.311
Epoch 056/149 | beta 0.00100 | train recon 0.1423  game_mse 0.0000  kl/dim 0.513 | val recon 0.1560  game_mse nan  kl/dim 0.346
Epoch 057/149 | beta 0.00100 | train recon 0.1420  game_mse 0.0000  kl/dim 0.512 | val recon 0.1561  game_mse nan  kl/dim 0.314
Epoch 058/149 | beta 0.00100 | train recon 0.1425  game_mse 0.0000  kl/dim 0.509 | val recon 0.1578  game_mse nan  kl/dim 0.309
Epoch 059/149 | beta 0.00100 | train recon 0.1415  game_mse 0.0000  kl/dim 0.509 | val recon 0.1567  game_mse nan  kl/dim 0.334
Epoch 060/149 | beta 0.00100 | train recon 0.1427  game_mse 0.0000  kl/dim 0.511 | val recon 0.1570  game_mse nan  kl/dim 0.290
  [diag] P(over|z) std: mean=0.0226  std=0.0119  (target >0.05)
Epoch 061/149 | beta 0.00100 | train recon 0.1427  game_mse 0.0000  kl/dim 0.511 | val recon 0.1580  game_mse nan  kl/dim 0.286
Epoch 062/149 | beta 0.00100 | train recon 0.1411  game_mse 0.0000  kl/dim 0.508 | val recon 0.1581  game_mse nan  kl/dim 0.316
Epoch 063/149 | beta 0.00100 | train recon 0.1410  game_mse 0.0000  kl/dim 0.511 | val recon 0.1574  game_mse nan  kl/dim 0.326
Epoch 064/149 | beta 0.00100 | train recon 0.1412  game_mse 0.0000  kl/dim 0.513 | val recon 0.1590  game_mse nan  kl/dim 0.293
Epoch 065/149 | beta 0.00100 | train recon 0.1412  game_mse 0.0000  kl/dim 0.511 | val recon 0.1577  game_mse nan  kl/dim 0.314
Epoch 066/149 | beta 0.00100 | train recon 0.1407  game_mse 0.0000  kl/dim 0.511 | val recon 0.1573  game_mse nan  kl/dim 0.285
Epoch 067/149 | beta 0.00100 | train recon 0.1406  game_mse 0.0000  kl/dim 0.509 | val recon 0.1576  game_mse nan  kl/dim 0.335
Epoch 068/149 | beta 0.00100 | train recon 0.1412  game_mse 0.0000  kl/dim 0.512 | val recon 0.1579  game_mse nan  kl/dim 0.318
Epoch 069/149 | beta 0.00100 | train recon 0.1387  game_mse 0.0000  kl/dim 0.510 | val recon 0.1571  game_mse nan  kl/dim 0.301
Epoch 070/149 | beta 0.00100 | train recon 0.1408  game_mse 0.0000  kl/dim 0.513 | val recon 0.1576  game_mse nan  kl/dim 0.319
  [diag] P(over|z) std: mean=0.0227  std=0.0119  (target >0.05)
Epoch 071/149 | beta 0.00100 | train recon 0.1394  game_mse 0.0000  kl/dim 0.511 | val recon 0.1572  game_mse nan  kl/dim 0.316
Epoch 072/149 | beta 0.00100 | train recon 0.1391  game_mse 0.0000  kl/dim 0.510 | val recon 0.1583  game_mse nan  kl/dim 0.296
Epoch 073/149 | beta 0.00100 | train recon 0.1393  game_mse 0.0000  kl/dim 0.512 | val recon 0.1578  game_mse nan  kl/dim 0.293
Epoch 074/149 | beta 0.00100 | train recon 0.1404  game_mse 0.0000  kl/dim 0.512 | val recon 0.1583  game_mse nan  kl/dim 0.306
Epoch 075/149 | beta 0.00100 | train recon 0.1387  game_mse 0.0000  kl/dim 0.510 | val recon 0.1581  game_mse nan  kl/dim 0.299
Epoch 076/149 | beta 0.00100 | train recon 0.1387  game_mse 0.0000  kl/dim 0.510 | val recon 0.1577  game_mse nan  kl/dim 0.322
Epoch 077/149 | beta 0.00100 | train recon 0.1385  game_mse 0.0000  kl/dim 0.511 | val recon 0.1568  game_mse nan  kl/dim 0.322
Epoch 078/149 | beta 0.00100 | train recon 0.1383  game_mse 0.0000  kl/dim 0.512 | val recon 0.1577  game_mse nan  kl/dim 0.309
Epoch 079/149 | beta 0.00100 | train recon 0.1405  game_mse 0.0000  kl/dim 0.512 | val recon 0.1577  game_mse nan  kl/dim 0.330
Epoch 080/149 | beta 0.00100 | train recon 0.1386  game_mse 0.0000  kl/dim 0.512 | val recon 0.1567  game_mse nan  kl/dim 0.318
  [diag] P(over|z) std: mean=0.0234  std=0.0127  (target >0.05)
Epoch 081/149 | beta 0.00100 | train recon 0.1382  game_mse 0.0000  kl/dim 0.512 | val recon 0.1577  game_mse nan  kl/dim 0.296
Epoch 082/149 | beta 0.00100 | train recon 0.1361  game_mse 0.0000  kl/dim 0.513 | val recon 0.1576  game_mse nan  kl/dim 0.295
Epoch 083/149 | beta 0.00100 | train recon 0.1374  game_mse 0.0000  kl/dim 0.510 | val recon 0.1586  game_mse nan  kl/dim 0.329
Epoch 084/149 | beta 0.00100 | train recon 0.1374  game_mse 0.0000  kl/dim 0.510 | val recon 0.1572  game_mse nan  kl/dim 0.314
Epoch 085/149 | beta 0.00100 | train recon 0.1388  game_mse 0.0000  kl/dim 0.512 | val recon 0.1577  game_mse nan  kl/dim 0.318
Epoch 086/149 | beta 0.00100 | train recon 0.1366  game_mse 0.0000  kl/dim 0.511 | val recon 0.1589  game_mse nan  kl/dim 0.311
Epoch 087/149 | beta 0.00100 | train recon 0.1379  game_mse 0.0000  kl/dim 0.510 | val recon 0.1567  game_mse nan  kl/dim 0.326
