Attention Config: BETA=0.001, epochs=150, ckpt_dir=checkpoints/exp_attention
Extracting PBP assist features (one-time, may take ~10 min)...
Loading PlayByPlay.parquet (this may take a few minutes)...
  Loaded 18,583,620 rows
  Made FGs: 2,925,500
Computing rolling assist rates per player...
Saved 693,341 rows to /Users/ag7/Documents/ML Projects/NBA Correlation/data/processed/pbp_features.csv
PBP features extracted.
  PBP features: 693,341 rows
Loading data (season 2019-26)...
  170772 rows after merge
  train=136880  val=33892
  player extra cols: ['home', 'cov_pts_ast', 'cov_pts_reb', 'rolling_ast_given_rate', 'rolling_ast_received_rate']
  make_loaders done
  team_dim=256  player_dim=26
--no-resume — starting from epoch 0.
Training attention model epochs 0–149
Epoch 066/149 | beta 0.00100 | train recon 0.4091  kl/dim 0.506 | val recon 0.4353  kl/dim 0.244
Epoch 067/149 | beta 0.00100 | train recon 0.4096  kl/dim 0.506 | val recon 0.4355  kl/dim 0.267
Epoch 068/149 | beta 0.00100 | train recon 0.4100  kl/dim 0.506 | val recon 0.4355  kl/dim 0.257
Epoch 069/149 | beta 0.00100 | train recon 0.4091  kl/dim 0.507 | val recon 0.4368  kl/dim 0.263
Epoch 070/149 | beta 0.00100 | train recon 0.4110  kl/dim 0.506 | val recon 0.4360  kl/dim 0.270
  [diag] P(over|z) std: mean=0.0180  std=0.0076  (target >0.05)
Epoch 071/149 | beta 0.00100 | train recon 0.4084  kl/dim 0.507 | val recon 0.4355  kl/dim 0.249
Epoch 072/149 | beta 0.00100 | train recon 0.4083  kl/dim 0.507 | val recon 0.4370  kl/dim 0.251
Epoch 073/149 | beta 0.00100 | train recon 0.4091  kl/dim 0.506 | val recon 0.4361  kl/dim 0.273
Epoch 074/149 | beta 0.00100 | train recon 0.4103  kl/dim 0.507 | val recon 0.4368  kl/dim 0.248
Epoch 075/149 | beta 0.00100 | train recon 0.4088  kl/dim 0.506 | val recon 0.4373  kl/dim 0.262
Epoch 076/149 | beta 0.00100 | train recon 0.4078  kl/dim 0.507 | val recon 0.4356  kl/dim 0.254
Epoch 077/149 | beta 0.00100 | train recon 0.4079  kl/dim 0.506 | val recon 0.4366  kl/dim 0.267
Epoch 078/149 | beta 0.00100 | train recon 0.4079  kl/dim 0.507 | val recon 0.4356  kl/dim 0.266
Epoch 079/149 | beta 0.00100 | train recon 0.4095  kl/dim 0.510 | val recon 0.4348  kl/dim 0.272
Epoch 080/149 | beta 0.00100 | train recon 0.4082  kl/dim 0.507 | val recon 0.4366  kl/dim 0.268
  [diag] P(over|z) std: mean=0.0170  std=0.0069  (target >0.05)
Epoch 081/149 | beta 0.00100 | train recon 0.4086  kl/dim 0.506 | val recon 0.4362  kl/dim 0.274
Epoch 082/149 | beta 0.00100 | train recon 0.4069  kl/dim 0.508 | val recon 0.4368  kl/dim 0.254
Epoch 083/149 | beta 0.00100 | train recon 0.4066  kl/dim 0.507 | val recon 0.4378  kl/dim 0.268
Epoch 084/149 | beta 0.00100 | train recon 0.4068  kl/dim 0.507 | val recon 0.4360  kl/dim 0.275
Epoch 085/149 | beta 0.00100 | train recon 0.4069  kl/dim 0.508 | val recon 0.4348  kl/dim 0.257
Epoch 086/149 | beta 0.00100 | train recon 0.4083  kl/dim 0.509 | val recon 0.4366  kl/dim 0.260
Epoch 087/149 | beta 0.00100 | train recon 0.4071  kl/dim 0.507 | val recon 0.4369  kl/dim 0.281
Epoch 088/149 | beta 0.00100 | train recon 0.4066  kl/dim 0.508 | val recon 0.4368  kl/dim 0.267
Epoch 089/149 | beta 0.00100 | train recon 0.4062  kl/dim 0.507 | val recon 0.4352  kl/dim 0.264
Epoch 090/149 | beta 0.00100 | train recon 0.4065  kl/dim 0.508 | val recon 0.4356  kl/dim 0.272
  [diag] P(over|z) std: mean=0.0167  std=0.0071  (target >0.05)
Epoch 091/149 | beta 0.00100 | train recon 0.4065  kl/dim 0.506 | val recon 0.4357  kl/dim 0.274
Epoch 092/149 | beta 0.00100 | train recon 0.4054  kl/dim 0.511 | val recon 0.4371  kl/dim 0.280
Epoch 093/149 | beta 0.00100 | train recon 0.4072  kl/dim 0.507 | val recon 0.4360  kl/dim 0.275
Epoch 094/149 | beta 0.00100 | train recon 0.4058  kl/dim 0.509 | val recon 0.4370  kl/dim 0.248
Epoch 095/149 | beta 0.00100 | train recon 0.4058  kl/dim 0.507 | val recon 0.4371  kl/dim 0.254
Epoch 096/149 | beta 0.00100 | train recon 0.4064  kl/dim 0.509 | val recon 0.4385  kl/dim 0.256
Epoch 097/149 | beta 0.00100 | train recon 0.4055  kl/dim 0.508 | val recon 0.4372  kl/dim 0.251
Epoch 098/149 | beta 0.00100 | train recon 0.4060  kl/dim 0.508 | val recon 0.4384  kl/dim 0.254
Epoch 099/149 | beta 0.00100 | train recon 0.4051  kl/dim 0.509 | val recon 0.4362  kl/dim 0.259
Epoch 100/149 | beta 0.00100 | train recon 0.4062  kl/dim 0.507 | val recon 0.4376  kl/dim 0.254
  [diag] P(over|z) std: mean=0.0187  std=0.0074  (target >0.05)
Epoch 101/149 | beta 0.00100 | train recon 0.4048  kl/dim 0.509 | val recon 0.4375  kl/dim 0.260
Epoch 102/149 | beta 0.00100 | train recon 0.4056  kl/dim 0.508 | val recon 0.4359  kl/dim 0.276
Epoch 103/149 | beta 0.00100 | train recon 0.4044  kl/dim 0.508 | val recon 0.4360  kl/dim 0.258
Epoch 104/149 | beta 0.00100 | train recon 0.4055  kl/dim 0.508 | val recon 0.4370  kl/dim 0.270
Epoch 105/149 | beta 0.00100 | train recon 0.4051  kl/dim 0.508 | val recon 0.4377  kl/dim 0.259
Epoch 106/149 | beta 0.00100 | train recon 0.4042  kl/dim 0.508 | val recon 0.4367  kl/dim 0.257
Epoch 107/149 | beta 0.00100 | train recon 0.4046  kl/dim 0.508 | val recon 0.4376  kl/dim 0.268
Epoch 108/149 | beta 0.00100 | train recon 0.4044  kl/dim 0.507 | val recon 0.4362  kl/dim 0.289
Epoch 109/149 | beta 0.00100 | train recon 0.4035  kl/dim 0.509 | val recon 0.4376  kl/dim 0.267
Epoch 110/149 | beta 0.00100 | train recon 0.4052  kl/dim 0.510 | val recon 0.4354  kl/dim 0.249
  [diag] P(over|z) std: mean=0.0179  std=0.0075  (target >0.05)
Epoch 111/149 | beta 0.00100 | train recon 0.4038  kl/dim 0.508 | val recon 0.4360  kl/dim 0.255
Epoch 112/149 | beta 0.00100 | train recon 0.4039  kl/dim 0.508 | val recon 0.4363  kl/dim 0.251
Epoch 113/149 | beta 0.00100 | train recon 0.4035  kl/dim 0.509 | val recon 0.4341  kl/dim 0.251
Epoch 114/149 | beta 0.00100 | train recon 0.4042  kl/dim 0.507 | val recon 0.4356  kl/dim 0.269
Epoch 115/149 | beta 0.00100 | train recon 0.4045  kl/dim 0.508 | val recon 0.4399  kl/dim 0.260
Epoch 116/149 | beta 0.00100 | train recon 0.4043  kl/dim 0.509 | val recon 0.4365  kl/dim 0.270
Epoch 117/149 | beta 0.00100 | train recon 0.4033  kl/dim 0.510 | val recon 0.4373  kl/dim 0.278
Epoch 118/149 | beta 0.00100 | train recon 0.4032  kl/dim 0.508 | val recon 0.4416  kl/dim 0.257
Epoch 119/149 | beta 0.00100 | train recon 0.4047  kl/dim 0.510 | val recon 0.4374  kl/dim 0.251
Epoch 120/149 | beta 0.00100 | train recon 0.4029  kl/dim 0.509 | val recon 0.4386  kl/dim 0.258
  [diag] P(over|z) std: mean=0.0183  std=0.0072  (target >0.05)
Epoch 121/149 | beta 0.00100 | train recon 0.4036  kl/dim 0.510 | val recon 0.4356  kl/dim 0.259
Epoch 122/149 | beta 0.00100 | train recon 0.4033  kl/dim 0.508 | val recon 0.4365  kl/dim 0.256
Epoch 123/149 | beta 0.00100 | train recon 0.4032  kl/dim 0.508 | val recon 0.4395  kl/dim 0.247
Epoch 124/149 | beta 0.00100 | train recon 0.4030  kl/dim 0.508 | val recon 0.4377  kl/dim 0.261
Epoch 125/149 | beta 0.00100 | train recon 0.4010  kl/dim 0.508 | val recon 0.4378  kl/dim 0.258
Epoch 126/149 | beta 0.00100 | train recon 0.4028  kl/dim 0.510 | val recon 0.4390  kl/dim 0.260
Epoch 127/149 | beta 0.00100 | train recon 0.4036  kl/dim 0.510 | val recon 0.4395  kl/dim 0.253
Epoch 128/149 | beta 0.00100 | train recon 0.4032  kl/dim 0.510 | val recon 0.4377  kl/dim 0.256
Epoch 129/149 | beta 0.00100 | train recon 0.4034  kl/dim 0.508 | val recon 0.4373  kl/dim 0.266
Epoch 130/149 | beta 0.00100 | train recon 0.4025  kl/dim 0.509 | val recon 0.4371  kl/dim 0.257
  [diag] P(over|z) std: mean=0.0181  std=0.0075  (target >0.05)
Epoch 131/149 | beta 0.00100 | train recon 0.4027  kl/dim 0.509 | val recon 0.4372  kl/dim 0.263
Epoch 132/149 | beta 0.00100 | train recon 0.4033  kl/dim 0.510 | val recon 0.4394  kl/dim 0.263
Epoch 133/149 | beta 0.00100 | train recon 0.4011  kl/dim 0.511 | val recon 0.4368  kl/dim 0.257
Epoch 134/149 | beta 0.00100 | train recon 0.4036  kl/dim 0.508 | val recon 0.4397  kl/dim 0.257
Epoch 135/149 | beta 0.00100 | train recon 0.4019  kl/dim 0.510 | val recon 0.4365  kl/dim 0.260
Epoch 136/149 | beta 0.00100 | train recon 0.4021  kl/dim 0.509 | val recon 0.4375  kl/dim 0.260
Epoch 137/149 | beta 0.00100 | train recon 0.4031  kl/dim 0.508 | val recon 0.4357  kl/dim 0.268
Epoch 138/149 | beta 0.00100 | train recon 0.4024  kl/dim 0.511 | val recon 0.4379  kl/dim 0.259
Epoch 139/149 | beta 0.00100 | train recon 0.4024  kl/dim 0.508 | val recon 0.4372  kl/dim 0.263
Epoch 140/149 | beta 0.00100 | train recon 0.4010  kl/dim 0.510 | val recon 0.4372  kl/dim 0.262
  [diag] P(over|z) std: mean=0.0179  std=0.0072  (target >0.05)
Epoch 141/149 | beta 0.00100 | train recon 0.4013  kl/dim 0.509 | val recon 0.4389  kl/dim 0.259
Epoch 142/149 | beta 0.00100 | train recon 0.4022  kl/dim 0.509 | val recon 0.4374  kl/dim 0.269
Epoch 143/149 | beta 0.00100 | train recon 0.4013  kl/dim 0.512 | val recon 0.4376  kl/dim 0.267
Epoch 144/149 | beta 0.00100 | train recon 0.4024  kl/dim 0.511 | val recon 0.4376  kl/dim 0.254
Epoch 145/149 | beta 0.00100 | train recon 0.4018  kl/dim 0.509 | val recon 0.4373  kl/dim 0.254
Epoch 146/149 | beta 0.00100 | train recon 0.4008  kl/dim 0.509 | val recon 0.4376  kl/dim 0.270
Epoch 147/149 | beta 0.00100 | train recon 0.4017  kl/dim 0.510 | val recon 0.4406  kl/dim 0.271
Epoch 148/149 | beta 0.00100 | train recon 0.4000  kl/dim 0.510 | val recon 0.4387  kl/dim 0.265
Epoch 149/149 | beta 0.00100 | train recon 0.4011  kl/dim 0.509 | val recon 0.4374  kl/dim 0.260

Final P(over|z) std: mean=0.0188  std=0.0075
Attention training complete.
