Config: BETA=0.001, lambda_gs=1.0, epochs=100, season=2019-26
  LATENT_DIM=32, H_DIM_ENC=128, H_DIM_DEC=64
  G_DIM=12, GS_TARGET_COLS=['home_actual_pace', 'home_actual_3pa_rate', 'home_actual_ast_rate', 'home_actual_to_rate', 'home_actual_margin', 'home_actual_oreb_rate', 'away_actual_pace', 'away_actual_3pa_rate', 'away_actual_ast_rate', 'away_actual_to_rate', 'away_actual_margin', 'away_actual_oreb_rate']
Loading data...
  170772 rows loaded
  train=136880  val=33892
Building tensors and loaders (with game state G)...
  make_loaders_gs done
  team_dim=256  player_dim=24
--no-resume: starting fresh.
Training epochs 0–99
Epoch 087/99 | beta 0.00100 | train: recon 0.4472 kl/dim 0.994 gs 0.6603 | val: recon 0.4663 kl/dim 0.661 gs 0.9481
Epoch 088/99 | beta 0.00100 | train: recon 0.4461 kl/dim 0.994 gs 0.6646 | val: recon 0.4660 kl/dim 0.689 gs 0.9450
Epoch 089/99 | beta 0.00100 | train: recon 0.4469 kl/dim 0.992 gs 0.6605 | val: recon 0.4670 kl/dim 0.703 gs 0.9452
  [DIAG] P(over|z) std=0.0137  GS R²=0.106
Epoch 090/99 | beta 0.00100 | train: recon 0.4479 kl/dim 0.998 gs 0.6560 | val: recon 0.4664 kl/dim 0.668 gs 0.9476
Epoch 091/99 | beta 0.00100 | train: recon 0.4467 kl/dim 0.995 gs 0.6603 | val: recon 0.4674 kl/dim 0.673 gs 0.9462
Epoch 092/99 | beta 0.00100 | train: recon 0.4470 kl/dim 1.000 gs 0.6584 | val: recon 0.4673 kl/dim 0.695 gs 0.9441
Epoch 093/99 | beta 0.00100 | train: recon 0.4487 kl/dim 0.994 gs 0.6550 | val: recon 0.4658 kl/dim 0.677 gs 0.9486
Epoch 094/99 | beta 0.00100 | train: recon 0.4480 kl/dim 0.989 gs 0.6585 | val: recon 0.4668 kl/dim 0.687 gs 0.9448
Epoch 095/99 | beta 0.00100 | train: recon 0.4472 kl/dim 0.994 gs 0.6521 | val: recon 0.4663 kl/dim 0.668 gs 0.9482
Epoch 096/99 | beta 0.00100 | train: recon 0.4482 kl/dim 0.987 gs 0.6565 | val: recon 0.4666 kl/dim 0.683 gs 0.9477
Epoch 097/99 | beta 0.00100 | train: recon 0.4465 kl/dim 0.997 gs 0.6496 | val: recon 0.4657 kl/dim 0.697 gs 0.9515
Epoch 098/99 | beta 0.00100 | train: recon 0.4473 kl/dim 0.994 gs 0.6570 | val: recon 0.4664 kl/dim 0.708 gs 0.9455
Epoch 099/99 | beta 0.00100 | train: recon 0.4471 kl/dim 0.987 gs 0.6611 | val: recon 0.4670 kl/dim 0.695 gs 0.9531
  [DIAG] P(over|z) std=0.0130  GS R²=0.100
Training complete.
